fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
9907233,2,2,0,0,1,1,5
9210215,4,4,0,0,4,0,0
12152,28,7,21,81,1,27,160
9903456,56,8,48,261,1,55,594
9909478,30,5,25,59,1,29,281
9707293,1,1,0,0,0,1,2
9801317,4,2,2,2,3,1,1
9304240,65,14,51,200,65,0,0
9906395,14,7,7,13,0,14,53
9505409,33,7,26,91,22,11,16
9804343,8,2,6,11,0,8,25
1133,12,8,4,9,0,12,61
9406401,8,5,3,5,3,5,19
9802368,13,3,10,21,0,13,57
9406205,26,12,14,24,5,21,39
9612362,30,4,26,77,7,23,85
108059,4,4,0,0,0,4,53
9711396,225,2,223,3207,214,11,11
9502370,5,3,2,4,4,1,1
9611445,14,2,12,23,0,14,57
9310358,40,2,38,154,13,27,30
9306293,6,2,4,8,3,3,3
9310314,29,5,24,79,22,7,11
9509423,59,6,53,252,59,0,0
9811390,111,7,104,1028,17,94,276
9807525,34,7,27,73,2,32,51
9807228,76,6,70,503,19,57,120
9705366,28,3,25,126,24,4,4
9812538,56,6,50,188,2,54,300
9912205,14,4,10,11,8,6,7
9505281,22,3,19,63,17,5,6
9710371,21,5,16,49,7,14,25
9902283,52,9,43,225,0,52,656
9711294,1,1,0,0,0,1,3
9804310,11,3,8,13,0,11,41
9903203,12,3,9,29,0,12,116
9807321,4,1,3,3,4,0,0
9511381,23,2,21,81,1,22,54
9706385,13,4,9,34,0,13,38
9505295,5,3,2,3,1,4,15
9606342,58,2,56,245,12,46,101
9406224,25,8,17,32,13,12,18
9507219,1,1,0,0,0,1,2
9410283,22,5,17,63,1,21,43
9609342,2,2,0,0,1,1,4
9410406,78,6,72,471,77,1,1
9604283,73,3,70,447,73,0,0
9410304,29,1,28,92,18,11,11
9912513,20,4,16,52,0,20,62
9408384,251,8,243,2966,240,11,11
9612426,44,8,36,201,4,40,204
9707302,12,1,11,26,0,12,93
9808453,2,1,1,1,0,2,10
9709301,18,7,11,25,0,18,108
106205,2,2,0,0,1,1,4
9811239,19,3,16,51,0,19,223
9808328,21,2,19,62,16,5,5
9402227,77,6,71,353,77,0,0
9406239,24,3,21,96,7,17,35
7170,8,1,7,15,0,8,39
9901389,85,1,84,755,1,84,344
9606211,78,4,74,583,16,62,274
9303281,124,15,109,758,39,85,104
9512253,26,1,25,74,3,23,42
9401254,76,8,68,390,22,54,54
9906286,35,3,32,90,1,34,199
9508271,69,5,64,501,7,62,88
9305345,77,12,65,512,32,45,45
9408217,16,1,15,50,3,13,36
9702235,11,3,8,15,11,0,0
9712385,11,2,9,20,0,11,83
9511336,19,2,17,65,0,19,140
9712222,67,3,64,588,9,58,145
9606427,61,3,58,386,9,52,186
9407337,13,6,7,11,7,6,6
9703348,17,3,14,28,1,16,27
9712269,7,3,4,5,0,7,20
9406233,14,6,8,13,14,0,0
9405257,22,3,19,47,22,0,0
9310244,8,5,3,4,7,1,1
6346,10,3,7,16,0,10,68
9803363,47,1,46,317,3,44,203
9811377,15,5,10,20,2,13,94
9805488,11,5,6,12,0,11,79
9312220,18,1,17,57,3,15,36
9207218,28,4,24,118,28,0,0
9401220,16,10,6,17,6,10,10
9706467,25,6,19,51,1,24,158
9408276,64,2,62,413,64,0,0
9405343,17,1,16,73,17,0,0
9907461,17,4,13,38,1,16,75
9907439,2,2,0,0,0,2,5
9710436,35,2,33,158,1,34,167
9910451,8,1,7,15,0,8,40
9907342,6,1,5,10,1,5,23
9507414,56,3,53,297,2,54,117
9806205,50,3,47,202,4,46,176
9802439,53,6,47,472,10,43,260
9809544,15,2,13,29,1,14,28
9501373,4,2,2,2,4,0,0
101067,23,3,20,88,0,23,195
9912531,39,2,37,231,0,39,239
9211267,13,6,7,15,5,8,8
9910347,22,4,18,65,0,22,483
9129,13,3,10,20,0,13,201
211218,5,1,4,8,0,5,30
9812365,16,3,13,28,4,12,12
9412324,24,5,19,65,15,9,19
9910506,2,2,0,0,0,2,6
9807415,46,3,43,251,0,46,220
9412332,6,3,3,9,2,4,6
9711501,8,3,5,12,1,7,52
9704286,13,3,10,26,7,6,9
9711446,6,2,4,6,0,6,21
9707331,10,2,8,25,0,10,43
9409380,23,2,21,84,23,0,0
9303293,14,1,13,30,5,9,9
9902270,8,1,7,19,0,8,41
9901358,37,6,31,185,0,37,86
9906509,3,3,0,0,1,2,2
9906345,4,2,2,4,0,4,26
9802351,1,1,0,0,0,1,2
9704317,26,4,22,106,0,26,117
9610280,21,10,11,17,6,15,35
9305344,2,2,0,0,2,0,0
9408287,16,2,14,59,10,6,6
9705402,3,1,2,3,0,3,21
112102,43,7,36,122,0,43,175
9205233,14,4,10,22,14,0,0
9305214,1,1,0,0,1,0,0
9501407,51,3,48,278,9,42,75
9710389,4,2,2,2,0,4,7
9511335,58,15,43,133,26,32,48
9401209,11,2,9,38,0,11,60
9905481,83,10,73,556,9,74,278
9509260,35,2,33,146,1,34,119
9307235,25,4,21,57,7,18,18
9701301,45,10,35,142,3,42,236
103218,18,2,16,64,0,18,268
9306325,16,6,10,42,9,7,7
9909325,26,3,23,90,2,24,149
9907211,14,4,10,30,1,13,81
107310,12,2,10,30,1,11,25
9906456,9,4,5,14,0,9,232
9707512,1,1,0,0,1,0,0
7108,51,4,47,258,0,51,469
9903414,13,3,10,19,2,11,32
6053,2,2,0,0,1,1,7
9710323,7,2,5,8,0,7,27
9610267,17,3,14,33,1,16,55
9409208,27,6,21,73,27,0,0
9901209,90,3,87,903,0,90,895
3051,1,1,0,0,0,1,8
9512418,8,5,3,4,1,7,13
9505396,2,2,0,0,2,0,0
101304,37,2,35,195,0,37,547
207043,10,5,5,6,0,10,102
9506432,30,4,26,104,30,0,0
111042,47,4,43,365,0,47,418
8153,2,1,1,1,0,2,4
9910498,19,2,17,57,0,19,97
9703233,9,3,6,8,1,8,47
9312204,6,3,3,5,6,0,0
104074,15,3,12,21,0,15,143
9908358,15,5,10,27,0,15,277
8087,10,3,7,20,0,10,37
9908326,40,6,34,210,0,40,256
9606386,20,5,15,41,2,18,79
9609480,13,5,8,14,0,13,22
9904248,13,8,5,8,0,13,86
5310,16,4,12,26,0,16,58
9309216,13,10,3,4,2,11,11
9503489,12,2,10,31,5,7,7
9603210,9,4,5,7,1,8,29
11064,4,3,1,1,0,4,24
9305310,11,4,7,15,11,0,0
9906225,4,3,1,1,0,4,12
6321,29,2,27,142,0,29,202
9803364,6,1,5,7,0,6,23
9601298,58,4,54,273,0,58,174
9510333,14,2,12,20,0,14,42
9609318,6,5,1,1,0,6,8
9411413,9,4,5,6,2,7,15
9509337,9,1,8,13,1,8,32
9205213,30,10,20,70,30,0,0
9512387,5,3,2,2,4,1,1
105053,15,3,12,31,0,15,87
9709330,9,3,6,11,1,8,54
9905338,6,3,3,4,0,6,50
10106,8,1,7,17,0,8,80
9302234,13,7,6,12,6,7,10
9408331,5,3,2,2,5,0,0
9804288,16,3,13,28,10,6,6
9604393,25,4,21,78,1,24,55
9802373,14,1,13,31,0,14,49
2250,27,3,24,79,0,27,214
9210266,7,4,3,5,7,0,0
9511361,6,3,3,4,0,6,24
9409377,6,2,4,4,6,0,0
104117,5,1,4,7,0,5,53
9511217,17,3,14,34,17,0,0
9512250,7,2,5,5,1,6,16
9505306,3,2,1,1,0,3,8
9701413,11,1,10,31,0,11,54
9510254,11,1,10,31,1,10,25
9912271,8,4,4,4,0,8,57
9705250,11,4,7,13,8,3,3
9709379,56,2,54,345,1,55,324
9501231,48,8,40,210,18,30,48
9512370,7,3,4,7,0,7,8
9706341,0,0,0,0,0,0,0
9607232,2,2,0,0,0,2,10
9907257,4,1,3,5,1,3,3
9712286,3,2,1,1,3,0,0
9603281,5,2,3,5,5,0,0
9610348,5,3,2,4,0,5,13
9711481,14,3,11,30,0,14,72
9301285,7,5,2,4,0,7,15
9501216,7,1,6,12,0,7,17
9705287,33,4,29,128,2,31,340
9503351,22,4,18,32,10,12,23
9805317,5,4,1,1,3,2,8
9207212,17,6,11,21,17,0,0
104226,16,5,11,36,1,15,45
4048,10,3,7,19,1,9,51
105294,0,0,0,0,0,0,0
9703270,3,3,0,0,0,3,7
9406204,37,3,34,159,17,20,20
9710373,11,2,9,28,0,11,136
9802304,24,3,21,69,1,23,79
203266,6,2,4,10,0,6,30
9902427,6,4,2,4,1,5,18
9808232,29,3,26,124,0,29,196
9807229,20,8,12,22,1,19,93
7213,9,3,6,9,0,9,43
104317,13,6,7,18,0,13,177
9711411,3,1,2,2,1,2,2
9132,0,0,0,0,0,0,0
9705354,12,5,7,30,2,10,10
9410333,13,1,12,47,13,0,0
9608325,0,0,0,0,0,0,0
9907470,3,3,0,0,0,3,11
5121,11,3,8,17,0,11,62
9603362,3,3,0,0,0,3,11
9904355,29,3,26,188,0,29,268
9909562,4,2,2,2,0,4,20
7107,14,6,8,19,1,13,18
103256,22,7,15,51,0,22,269
9805389,43,9,34,150,1,42,222
9308270,17,5,12,54,17,0,0
9607223,2,1,1,1,0,2,8
9207204,15,5,10,18,15,0,0
104284,31,3,28,129,0,31,182
9901278,14,3,11,36,6,8,8
9704336,15,3,12,46,0,15,126
9801251,14,5,9,15,0,14,96
202061,1,1,0,0,0,1,1
210061,0,0,0,0,0,0,0
111158,2,2,0,0,0,2,9
9806539,2,2,0,0,0,2,7
9706227,6,2,4,7,2,4,17
9705294,6,3,3,4,0,6,12
4024,4,4,0,0,1,3,10
9409361,10,2,8,29,1,9,9
9603337,3,1,2,3,2,1,2
111053,2,2,0,0,0,2,17
9503278,20,2,18,53,1,19,20
9507258,2,1,1,1,2,0,0
108228,0,0,0,0,0,0,0
9505203,7,3,4,8,2,5,5
9804352,22,4,18,50,0,22,100
9710216,5,4,1,1,5,0,0
9302311,25,4,21,116,25,0,0
112085,5,4,1,1,0,5,13
101023,4,3,1,1,1,3,8
9503215,15,4,11,18,1,14,36
9604313,41,3,38,207,15,26,135
9912453,8,3,5,10,0,8,36
9405208,2,2,0,0,1,1,2
9708363,21,7,14,29,1,20,57
102111,16,5,11,34,0,16,76
103052,11,4,7,11,0,11,42
9703439,7,1,6,10,1,6,7
9301254,12,3,9,35,12,0,0
2177,20,6,14,41,0,20,163
9410347,9,2,7,16,5,4,4
9707433,2,2,0,0,0,2,3
110166,5,2,3,6,0,5,63
1264,13,9,4,7,0,13,78
9911300,1,1,0,0,0,1,1
9703343,13,5,8,24,1,12,40
11121,1,1,0,0,0,1,18
9511223,2,1,1,1,2,0,0
9609458,5,2,3,3,0,5,11
104141,9,4,5,7,0,9,178
9407223,6,4,2,2,6,0,0
9703438,16,6,10,23,0,16,88
9502275,4,2,2,2,4,0,0
9412309,8,2,6,13,5,3,3
9610510,2,1,1,1,0,2,18
9702426,13,4,9,22,1,12,43
9902368,9,2,7,18,0,9,49
9603241,1,1,0,0,1,0,0
10142,3,3,0,0,0,3,5
9802276,13,4,9,30,0,13,60
9301255,5,2,3,6,0,5,5
9607389,41,4,37,189,11,30,50
9808400,23,3,20,74,3,20,47
9711485,81,8,73,373,1,80,333
1130,7,3,4,8,2,5,20
9604442,9,2,7,13,7,2,2
204051,1,1,0,0,0,1,3
207266,2,1,1,1,0,2,12
9806523,5,3,2,2,1,4,15
207326,9,3,6,9,0,9,86
204037,6,1,5,6,0,6,52
103284,6,4,2,3,0,6,79
9508401,13,3,10,22,8,5,5
9606448,3,2,1,1,1,2,3
105140,0,0,0,0,0,0,0
9810315,7,2,5,12,0,7,17
9402213,6,2,4,9,1,5,5
205284,7,1,6,13,0,7,100
3097,0,0,0,0,0,0,0
9707369,2,1,1,1,0,2,4
9312277,4,2,2,3,2,2,2
9711369,6,2,4,6,5,1,1
110158,11,1,10,22,0,11,223
9904230,10,3,7,22,8,2,2
9807564,1,1,0,0,0,1,3
9308284,20,8,12,43,20,0,0
9410306,1,1,0,0,1,0,0
3309,6,3,3,5,0,6,32
207332,0,0,0,0,0,0,0
9606449,8,3,5,8,1,7,18
9807456,1,1,0,0,0,1,2
9604390,4,2,2,4,0,4,21
9810531,4,2,2,2,3,1,2
9602267,4,3,1,2,0,4,7
9606247,9,2,7,14,0,9,48
9501338,5,3,2,3,0,5,5
9507359,6,1,5,5,0,6,27
2297,8,4,4,5,8,0,0
104205,11,1,10,34,0,11,177
5301,6,4,2,5,0,6,29
9506406,6,2,4,4,0,6,24
9806382,15,3,12,54,0,15,131
9904411,12,3,9,15,3,9,27
9209276,18,2,16,54,18,0,0
9801304,14,4,10,13,0,14,52
9406321,5,3,2,5,4,1,2
1202,7,1,6,13,0,7,40
9705390,11,6,5,9,0,11,39
9703336,9,4,5,10,4,5,9
9907380,9,2,7,13,0,9,39
9908343,5,4,1,1,0,5,90
9802372,5,3,2,4,0,5,23
9907505,13,8,5,8,1,12,52
207179,1,1,0,0,0,1,3
205255,3,2,1,1,0,3,8
9312255,2,2,0,0,2,0,0
9503224,2,1,1,1,2,0,0
9605231,15,3,12,21,1,14,53
104170,0,0,0,0,0,0,0
9610531,2,1,1,1,0,2,4
9702248,1,1,0,0,1,0,0
9711418,5,3,2,3,1,4,8
7125,2,2,0,0,0,2,3
9810257,11,5,6,8,0,11,77
9609347,2,2,0,0,0,2,8
9812485,2,1,1,1,2,0,0
9705378,5,5,0,0,1,4,5
9709274,14,7,7,13,0,14,30
1090,4,2,2,5,0,4,16
9607386,4,1,3,6,4,0,0
9811475,3,3,0,0,0,3,19
9807560,4,4,0,0,1,3,11
7047,2,2,0,0,0,2,2
1021,12,6,6,8,0,12,36
9905380,1,1,0,0,0,1,3
9412349,4,2,2,5,4,0,0
9307265,3,1,2,3,0,3,8
9909275,0,0,0,0,0,0,0
9904488,5,1,4,5,0,5,29
207253,1,1,0,0,0,1,8
10037,2,1,1,1,0,2,5
9411304,6,3,3,4,3,3,3
9203225,21,5,16,62,21,0,0
9708283,3,1,2,2,0,3,16
9712359,13,3,10,18,0,13,72
101018,3,3,0,0,3,0,0
201296,32,1,31,106,5,27,39
211426,0,0,0,0,0,0,0
9809496,4,1,3,5,0,4,4
9801265,2,2,0,0,1,1,9
107309,1,1,0,0,0,1,4
9810546,15,4,11,37,3,12,47
9197,5,5,0,0,2,3,8
9709372,9,4,5,9,1,8,27
12057,5,2,3,5,0,5,20
104100,3,2,1,1,0,3,12
101030,8,6,2,3,2,6,21
9609309,4,2,2,2,0,4,35
9712519,5,3,2,2,5,0,0
9406316,15,5,10,34,2,13,22
111326,3,1,2,2,1,2,20
9207266,6,2,4,6,6,0,0
9710290,8,3,5,7,0,8,8
9803372,6,3,3,3,2,4,5
9807384,9,4,5,7,1,8,21
9712219,3,3,0,0,0,3,59
111249,4,2,2,2,1,3,13
9611304,4,3,1,1,0,4,17
210362,0,0,0,0,0,0,0
9802312,7,1,6,6,0,7,29
9602405,20,8,12,19,3,17,23
207140,0,0,0,0,0,0,0
207087,1,1,0,0,0,1,22
9509229,9,3,6,13,1,8,11
4143,17,9,8,13,0,17,64
9708370,7,6,1,1,6,1,2
8121,4,4,0,0,1,3,3
9909542,26,3,23,116,0,26,340
111131,6,4,2,5,0,6,45
9410318,4,2,2,3,4,0,0
9801380,10,2,8,20,5,5,5
9411280,4,4,0,0,0,4,12
9905259,1,1,0,0,0,1,2
210155,2,2,0,0,0,2,7
10270,2,2,0,0,0,2,6
9410317,7,1,6,12,4,3,3
102164,2,1,1,1,2,0,0
209153,1,1,0,0,1,0,0
9805252,1,1,0,0,0,1,3
9806325,1,1,0,0,0,1,2
9707502,5,3,2,3,0,5,13
207327,9,5,4,5,0,9,56
211271,3,2,1,1,0,3,11
9211311,14,5,9,19,14,0,0
9310368,2,1,1,1,2,0,0
101046,1,1,0,0,0,1,12
9605457,9,6,3,3,1,8,19
9407238,4,2,2,3,2,2,2
9705328,3,2,1,1,1,2,6
107256,9,2,7,13,0,9,179
9410321,7,2,5,8,0,7,14
9806202,5,3,2,2,5,0,0
9907388,1,1,0,0,0,1,2
9401242,9,3,6,12,9,0,0
9903322,7,3,4,10,0,7,65
9807369,0,0,0,0,0,0,0
9166,0,0,0,0,0,0,0
9801428,0,0,0,0,0,0,0
9712379,2,1,1,1,0,2,8
9711489,3,3,0,0,0,3,10
9709334,6,1,5,14,0,6,16
9502409,2,2,0,0,2,0,0
12141,0,0,0,0,0,0,0
2164,2,1,1,1,2,0,0
203251,3,1,2,2,0,3,51
110332,3,1,2,3,0,3,15
9701288,3,1,2,2,3,0,0
9606433,7,2,5,13,7,0,0
111106,2,2,0,0,0,2,9
210428,3,1,2,2,0,3,31
101181,1,1,0,0,0,1,5
205312,6,3,3,3,0,6,35
12136,29,2,27,76,0,29,281
9604215,2,1,1,1,0,2,4
10091,0,0,0,0,0,0,0
9609476,5,1,4,7,0,5,5
9401345,3,2,1,1,2,1,2
9408249,1,1,0,0,0,1,1
9906403,5,3,2,2,0,5,18
9512379,7,1,6,17,2,5,5
103267,5,2,3,4,1,4,21
9206213,3,1,2,3,3,0,0
204341,7,3,4,7,0,7,62
105254,2,1,1,1,0,2,14
1317,2,2,0,0,0,2,4
210296,2,2,0,0,0,2,20
5200,2,2,0,0,1,1,6
9701360,13,3,10,15,0,13,74
9409221,5,4,1,1,1,4,4
9503453,0,0,0,0,0,0,0
9404327,11,2,9,30,8,3,3
9507461,12,3,9,22,0,12,62
9805279,3,1,2,3,0,3,21
9909337,12,1,11,44,1,11,130
9706404,3,1,2,3,0,3,3
9603391,0,0,0,0,0,0,0
9603371,1,1,0,0,0,1,8
4008,9,4,5,12,0,9,72
9504434,12,6,6,8,6,6,7
9812407,1,1,0,0,0,1,1
9212267,2,2,0,0,2,0,0
9506269,16,6,10,11,1,15,20
10206,1,1,0,0,0,1,3
7209,3,2,1,1,3,0,0
9411400,2,2,0,0,0,2,3
9701317,0,0,0,0,0,0,0
9401333,1,1,0,0,0,1,1
9506271,21,2,19,108,21,0,0
201087,4,3,1,1,0,4,14
9603331,4,2,2,5,0,4,4
9709240,1,1,0,0,0,1,1
201213,1,1,0,0,1,0,0
9807524,3,2,1,1,1,2,3
9804347,7,3,4,10,7,0,0
108197,4,3,1,1,0,4,15
11365,9,5,4,7,0,9,37
204111,5,2,3,5,0,5,19
9910300,3,2,1,1,1,2,3
1254,0,0,0,0,0,0,0
12202,3,3,0,0,2,1,3
211432,3,2,1,1,0,3,34
9407400,3,1,2,2,3,0,0
4223,11,5,6,8,0,11,67
1115,9,5,4,4,0,9,90
212378,0,0,0,0,0,0,0
9806248,5,2,3,5,1,4,8
9506436,18,7,11,27,14,4,4
9809498,15,1,14,45,1,14,85
9312252,6,3,3,5,6,0,0
9911322,3,2,1,1,0,3,9
111109,2,1,1,1,0,2,21
204330,2,1,1,1,0,2,15
9811442,3,2,1,1,0,3,30
8271,0,0,0,0,0,0,0
9901215,12,4,8,19,3,9,12
3201,10,2,8,21,0,10,33
205039,2,1,1,1,0,2,31
9906291,1,1,0,0,0,1,10
3034,1,1,0,0,1,0,0
9312234,1,1,0,0,1,0,0
9604231,10,4,6,7,0,10,22
9410356,11,3,8,27,0,11,30
9302213,8,7,1,2,8,0,0
207258,0,0,0,0,0,0,0
9608363,1,1,0,0,0,1,1
104099,4,4,0,0,0,4,13
9912376,8,1,7,14,0,8,29
211017,0,0,0,0,0,0,0
205219,4,1,3,3,0,4,44
9710206,11,3,8,28,1,10,50
211105,2,1,1,1,0,2,7
9910239,2,1,1,1,0,2,18
9609509,1,1,0,0,1,0,0
9903234,14,4,10,18,2,12,22
9602276,2,1,1,1,2,0,0
3134,5,2,3,3,0,5,23
9401259,4,2,2,4,2,2,2
9027,2,1,1,1,0,2,5
9811496,3,2,1,1,2,1,1
205093,3,3,0,0,0,3,5
9607312,1,1,0,0,0,1,5
210123,2,2,0,0,0,2,8
9804449,4,3,1,1,0,4,10
4053,5,3,2,2,0,5,35
204190,1,1,0,0,0,1,4
12014,2,1,1,1,1,1,3
9610522,11,6,5,9,11,0,0
208030,0,0,0,0,0,0,0
9505372,5,3,2,2,5,0,0
9710321,1,1,0,0,0,1,2
9901352,1,1,0,0,0,1,6
11235,1,1,0,0,0,1,4
9804348,11,4,7,16,4,7,25
112283,7,3,4,5,0,7,65
5136,4,3,1,3,0,4,13
111394,1,1,0,0,1,0,0
9805278,3,2,1,1,0,3,11
204142,8,2,6,12,0,8,38
111396,1,1,0,0,0,1,2
103076,1,1,0,0,0,1,5
102223,1,1,0,0,0,1,9
9503444,3,2,1,1,3,0,0
9803329,2,2,0,0,0,2,3
9908264,16,1,15,38,0,16,153
109058,7,2,5,5,0,7,85
9810526,1,1,0,0,0,1,1
9408319,1,1,0,0,1,0,0
103161,5,2,3,5,1,4,29
5101,2,2,0,0,0,2,9
9508361,0,0,0,0,0,0,0
9708429,1,1,0,0,0,1,1
112063,3,1,2,2,0,3,16
8242,6,2,4,4,0,6,14
12047,1,1,0,0,0,1,6
3103,1,1,0,0,1,0,0
9911464,3,2,1,1,0,3,20
9703218,7,4,3,3,1,6,15
9903313,1,1,0,0,1,0,0
9512352,3,2,1,1,3,0,0
10250,1,1,0,0,0,1,4
9804249,4,1,3,6,0,4,31
10306,7,3,4,4,1,6,26
9803223,1,1,0,0,1,0,0
9905245,2,1,1,1,0,2,6
9712453,2,1,1,1,0,2,4
8248,1,1,0,0,0,1,1
9611444,4,2,2,3,1,3,3
9601327,3,2,1,1,0,3,12
9511301,10,8,2,4,10,0,0
9706531,5,2,3,5,0,5,17
4072,1,1,0,0,0,1,3
9712337,0,0,0,0,0,0,0
109204,4,2,2,2,0,4,11
9906245,0,0,0,0,0,0,0
9512446,3,3,0,0,1,2,12
9904484,2,2,0,0,2,0,0
9911296,4,1,3,3,0,4,46
9605279,1,1,0,0,1,0,0
3098,1,1,0,0,0,1,9
9710237,2,2,0,0,0,2,3
208057,0,0,0,0,0,0,0
9508312,2,1,1,1,0,2,2
9608371,2,2,0,0,1,1,5
210242,0,0,0,0,0,0,0
9511281,1,1,0,0,0,1,5
9504323,0,0,0,0,0,0,0
9286,10,5,5,11,0,10,41
7075,3,3,0,0,2,1,3
9310240,2,2,0,0,2,0,0
6066,2,2,0,0,1,1,1
203051,6,3,3,7,0,6,32
107059,4,1,3,4,0,4,4
9701203,0,0,0,0,0,0,0
9808309,7,1,6,13,1,6,10
205238,0,0,0,0,0,0,0
9702402,2,2,0,0,2,0,0
203033,3,2,1,1,0,3,20
9504433,3,2,1,1,2,1,1
5212,2,2,0,0,0,2,3
101171,6,1,5,11,1,5,10
105218,0,0,0,0,0,0,0
11003,4,2,2,2,0,4,39
107288,0,0,0,0,0,0,0
9512324,1,1,0,0,0,1,2
9607411,9,1,8,19,0,9,9
204361,2,2,0,0,0,2,40
110113,7,2,5,13,0,7,35
9807407,4,3,1,1,0,4,4
8136,4,2,2,3,0,4,6
104022,5,2,3,4,1,4,8
9802221,1,1,0,0,0,1,12
9608432,1,1,0,0,0,1,4
9809485,5,4,1,2,3,2,2
108157,6,1,5,11,6,0,0
110017,3,1,2,2,0,3,26
102094,0,0,0,0,0,0,0
102137,0,0,0,0,0,0,0
9803487,1,1,0,0,0,1,2
9312336,1,1,0,0,1,0,0
301011,1,1,0,0,0,1,5
9602209,1,1,0,0,1,0,0
9704276,7,2,5,11,0,7,66
205108,6,1,5,9,0,6,54
203147,2,2,0,0,0,2,8
9508282,2,1,1,1,0,2,3
209049,0,0,0,0,0,0,0
111123,3,1,2,2,3,0,0
9809492,1,1,0,0,1,0,0
9910552,1,1,0,0,0,1,2
9908420,3,2,1,1,0,3,17
10092,2,2,0,0,0,2,5
111015,4,2,2,2,0,4,16
9908304,3,3,0,0,0,3,9
9806377,1,1,0,0,1,0,0
9910275,5,5,0,0,0,5,32
9503405,1,1,0,0,1,0,0
9810314,0,0,0,0,0,0,0
9407390,9,2,7,12,1,8,22
9810363,8,1,7,15,8,0,0
9406209,0,0,0,0,0,0,0
9609376,1,1,0,0,0,1,2
109161,1,1,0,0,0,1,3
9304259,1,1,0,0,1,0,0
211024,2,2,0,0,0,2,12
212352,0,0,0,0,0,0,0
208075,0,0,0,0,0,0,0
9602321,1,1,0,0,1,0,0
207346,4,1,3,5,0,4,25
9901356,1,1,0,0,0,1,1
9412362,4,3,1,1,4,0,0
203183,2,2,0,0,0,2,9
9704427,1,1,0,0,1,0,0
9310325,1,1,0,0,1,0,0
9611271,2,1,1,1,2,0,0
9704252,0,0,0,0,0,0,0
9308345,3,2,1,1,0,3,3
9812259,1,1,0,0,0,1,3
202066,2,2,0,0,0,2,19
7174,0,0,0,0,0,0,0
9809460,1,1,0,0,0,1,7
103262,1,1,0,0,0,1,2
9410335,0,0,0,0,0,0,0
106185,3,3,0,0,3,0,0
6121,3,1,2,3,0,3,7
9510423,1,1,0,0,1,0,0
9312231,0,0,0,0,0,0,0
209357,0,0,0,0,0,0,0
9404339,3,2,1,1,3,0,0
9506377,1,1,0,0,1,0,0
9305337,5,3,2,3,5,0,0
9410408,4,1,3,5,0,4,4
9902425,0,0,0,0,0,0,0
9804372,4,4,0,0,0,4,24
106132,9,1,8,28,0,9,61
9311203,1,1,0,0,1,0,0
9512217,1,1,0,0,1,0,0
4121,0,0,0,0,0,0,0
